Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
23:25:00,Wednesday,Over 51,Unknown,Elementary school,Owner,2-5yr,Stationwagen,Owner,,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,Female,18-30,3,Driver,,Not a Pedestrian,Driving carelessly
23:25:00,Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Other,Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left
23:25:00,Wednesday,31-50,Male,,Owner,5-10yr,Other,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle
7:40:00,Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
7:40:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
15:17:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward
15:17:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward
15:50:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
15:50:00,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
9:45:00,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing
9:45:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian
17:35:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
17:35:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
17:35:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,,Normal,Not a Pedestrian,Changing lane to the left
20:50:00,Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,,,Not a Pedestrian,Driving carelessly
20:50:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly
21:32:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
21:32:00,Thursday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Other
19:55:00,Monday,18-30,Male,,Employee,,Long lorry,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
19:55:00,Monday,18-30,Male,,Employee,2-5yr,Public (12 seats),Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
16:10:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,,,,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,No distancing
16:10:00,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing
15:25:00,Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overturning
23:36:00,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving at high speed
23:36:00,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,31-50,2,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
23:36:00,Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,,Normal,Not a Pedestrian,No priority to pedestrian
23:36:00,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle
20:00:00,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Other
20:00:00,Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Governmental,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Other
20:00:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,,No defect,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
17:54:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Unknown,na,na,na,na,,,Not a Pedestrian,No distancing
17:54:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
18:04:00,Monday,31-50,Unknown,,Unknown,5-10yr,Other,Owner,Above 10yr,, Industrial areas,,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
17:00:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
1:15:00,Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,na,na,,,Not a Pedestrian,No distancing
1:15:00,Saturday,18-30,Unknown,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Other
1:15:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
1:15:00,Saturday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
18:30:00,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly
18:30:00,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,,,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
15:52:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
15:52:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right
15:52:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian
12:33:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Unknown,,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,,,Not a Pedestrian,No priority to vehicle
8:59:00,Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left
8:59:00,Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Turnover
17:25:00,Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,Under 18,3,Driver,Deaf,Not a Pedestrian,Driving to the left
0:53:00,Sunday,18-30,Male,Elementary school,Employee,,Ridden horse,,,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
0:53:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving to the left
0:53:00,Sunday,18-30,Male,,Employee,5-10yr,Automobile,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
15:20:00,Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Stationwagen,Owner,2-5yrs,, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian
18:23:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly
18:23:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the right
5:24:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Moving Backward
